transaction_id,customer_id,product_id,transaction_date,due_date,quantity,gross_amount,discount,net_amount,settled_date,status,late_settlement
T100000,10394,518,01/01/2024,03/01/2024,1,152.22,30.44,121.78,15/02/2024,In Arrears,TRUE
T100001,10300,508,01/01/2024,03/01/2024,2,379.72,0,379.72,11/01/2024,Settled,TRUE
T100002,10060,510,01/01/2024,03/01/2024,1,99.53,4.98,94.55,11/01/2024,Settled,TRUE
T100003,10443,509,01/01/2024,03/01/2024,1,147.18,0,147.18,01/01/2024,Settled,FALSE
T100004,10459,518,01/01/2024,03/01/2024,2,304.44,0,304.44,21/01/2024,Settled,TRUE
T100005,10486,512,01/01/2024,03/01/2024,1,183.58,0,183.58,15/02/2024,In Arrears,TRUE
T100006,10390,503,01/01/2024,03/01/2024,1,103.95,0,103.95,02/01/2024,Settled,FALSE
T100007,10395,503,01/01/2024,03/01/2024,1,103.95,10.4,93.55,11/01/2024,Settled,TRUE
T100008,10103,519,01/01/2024,03/01/2024,2,163.8,0,163.8,03/01/2024,Settled,FALSE
T100009,10428,501,01/01/2024,03/01/2024,1,190.32,0,190.32,03/01/2024,Settled,FALSE
T100010,10125,507,01/01/2024,03/01/2024,2,374.62,0,374.62,11/01/2024,Settled,TRUE
T100011,10372,515,01/01/2024,03/01/2024,2,375.12,0,375.12,21/01/2024,Settled,TRUE
T100012,10134,503,01/01/2024,03/01/2024,3,311.85,0,311.85,31/01/2024,Settled,TRUE
T100013,10062,509,01/01/2024,03/01/2024,1,147.18,0,147.18,01/01/2024,Settled,FALSE
T100014,10236,510,01/01/2024,03/01/2024,1,99.53,0,99.53,06/01/2024,Settled,TRUE
T100015,10049,509,01/01/2024,03/01/2024,1,147.18,14.72,132.46,03/01/2024,Settled,FALSE
T100016,10383,512,01/01/2024,03/01/2024,3,550.74,27.54,523.2,06/01/2024,Settled,TRUE
T100017,10479,508,02/01/2024,04/01/2024,1,189.86,9.49,180.37,03/01/2024,Settled,FALSE
T100018,10392,505,02/01/2024,04/01/2024,1,155.08,31.02,124.06,03/01/2024,Settled,FALSE
T100019,10205,503,02/01/2024,04/01/2024,1,103.95,0,103.95,07/01/2024,Settled,TRUE
T100020,10243,508,02/01/2024,04/01/2024,1,189.86,0,189.86,07/01/2024,Settled,TRUE
T100021,10293,519,02/01/2024,04/01/2024,2,163.8,32.76,131.04,02/01/2024,Settled,FALSE
T100022,10245,513,02/01/2024,04/01/2024,1,148.84,0,148.84,02/01/2024,Settled,FALSE
T100023,10237,509,02/01/2024,04/01/2024,1,147.18,7.36,139.82,12/01/2024,Settled,TRUE
T100024,10223,505,02/01/2024,04/01/2024,1,155.08,0,155.08,02/01/2024,Settled,FALSE
T100025,10108,507,02/01/2024,04/01/2024,3,561.93,112.39,449.54,12/01/2024,Settled,TRUE
T100026,10296,501,02/01/2024,04/01/2024,1,190.32,9.52,180.8,04/01/2024,Settled,FALSE
T100027,10242,517,02/01/2024,04/01/2024,1,166.76,16.68,150.08,07/01/2024,Settled,TRUE
T100028,10228,505,02/01/2024,04/01/2024,2,310.16,0,310.16,04/01/2024,Settled,FALSE
T100029,10493,516,02/01/2024,04/01/2024,2,159.66,0,159.66,12/01/2024,Settled,TRUE
T100030,10302,509,03/01/2024,05/01/2024,3,441.54,0,441.54,05/01/2024,Settled,FALSE
T100031,10277,511,03/01/2024,05/01/2024,1,110.44,5.52,104.92,13/01/2024,Settled,TRUE
T100032,10194,505,03/01/2024,05/01/2024,1,155.08,7.75,147.33,05/01/2024,Settled,FALSE
T100033,10123,505,03/01/2024,05/01/2024,1,155.08,0,155.08,23/01/2024,Settled,TRUE
